Array;Source Name;Cell_line;ClustGroup
5500994158987071513207_B08.cel;J132_EPB08P5_TE-9_Esophagus_946353;TE-9;1
5500994172383112813928_B08.cel;J132_EPB08P6_HCC-827_Lung_1240146;HCC-827;2
5500994158987071513201_B08.cel;J132_EPB08P7_NCI-H1915_Lung_1240184;NCI-H1915;2
5500994172383112813930_B08.cel;J132_EPB08P8_NBsusSR_PNS_925342;NBsusSR;5
5500994172948120113978_B08.cel;J132_EPB08P9_LK-2_lung_687787;LK-2;6
5500994173212120213068_B09.cel;J132_EPB09P10_MIA-PaCa-2_Pancreas_724870;MIA-PaCa-2;2
5500994157493061613625_B09.cel;J132_EPB09P1_H2731_Lung_1240134;H2731;4
5500994158987071513209_B09.cel;J132_EPB09P2_COLO-668_Lung_910692;COLO-668;6
5500994172383112813929_B09.cel;J132_EPB09P3_HuO9_Bone_907072;HuO9;5
5500994158987071513202_B09.cel;J132_EPB09P4_GAK_Skin_910932;GAK;3
5500994158987071513207_B09.cel;J132_EPB09P5_SLVL_Blood_1331032;SLVL;8
5500994172383112813928_B09.cel;J132_EPB09P6_SW948_Intestine_909757;SW948;2
5500994158987071513201_B09.cel;J132_EPB09P7_NCI-H1623_Lung:NSCLC_687798;NCI-H1623;2
5500994172383112813930_B09.cel;J132_EPB09P8_OVK-18_Ovary_1480371;OVK-18;5
5500994172948120113978_B09.cel;J132_EPB09P9_IOSE-364-_Ovary_1479991;IOSE-364-;4
5500994157493061613625_B10.cel;J132_EPB10P1_IST-MEL1_Skin_907172;IST-MEL1;4
5500994158987071513209_B10.cel;J132_EPB10P2_D-263MG_CNS_946368;D-263MG;4
5500994172383112813929_B10.cel;J132_EPB10P3_HPAC_Pancreas_1298136;HPAC;2
5500994158987071513202_B10.cel;J132_EPB10P4_GP5d_Intestine_907291;GP5d;2
5500994158987071513207_B10.cel;J132_EPB10P5_SNU-449_Liver_909738;SNU-449;2
5500994172383112813928_B10.cel;J132_EPB10P6_HCE-4_Esophagus_753559;HCE-4;2
5500994158987071513201_B10.cel;J132_EPB10P7_OCI-AML2_Blood_910947;OCI-AML2;7
5500994172383112813930_B10.cel;J132_EPB10P8_OCI-LY-19_Blood_1330984;OCI-LY-19;8
5500994172948120113978_B10.cel;J132_EPB10P9_NCI-H2286_Lung_1298355;NCI-H2286;2
5500994157493061613625_B11.cel;J132_EPB11P1_5637_Bladder_687452;5637;2
5500994158987071513209_B11.cel;J132_EPB11P2_DMS-53_Lung_907295;DMS-53;6
5500994172383112813929_B11.cel;J132_EPB11P3_Hs-633T_Misc_1240149;Hs-633T;4
5500994158987071513202_B11.cel;J132_EPB11P4_MFM-223_Breast_910948;MFM-223;6
5500994158987071513207_B11.cel;J132_EPB11P5_SW780_Bladder_687457;SW780;2
5500994172383112813928_B11.cel;J132_EPB11P6_JVM-3_Blood_907270;JVM-3;8
5500994158987071513201_B11.cel;J132_EPB11P7_ONS-76_CNS_909248;ONS-76;1
5500994172383112813930_B11.cel;J132_EPB11P8_NCI-H196_Lung_1240186;NCI-H196;4
5500994172948120113978_B11.cel;J132_EPB11P9_SK-GT-2_Esophagus_1503364;SK-GT-2;2
5500994157493061613625_B12.cel;J132_EPB12P1_786-o_Kidney_905947;786-o;4
