Array;ClustGroup;Cell_line;Tissue;Tissue sub-type;Cell_line_Tissue;TCGA
5500994172383112813929_H02.cel;7;ALL-PO;blood;lymphoblastic_leukemia;ALL-PO_Blood_910944;ALL
5500994172383112813929_H02.cel;7;ALL-PO;blood;lymphoblastic_leukemia;ALL-PO_Blood_910944;ALL
5500994173212120213068_A04.cel;7;ALL-SIL;blood;T_cell_leukemia;ALL-SIL_Blood_1295740;ALL
5500994173212120213068_A04.cel;7;ALL-SIL;blood;T_cell_leukemia;ALL-SIL_Blood_1295740;ALL
5500994158987071513209_B04.cel;7;BE-13;blood;lymphoblastic_leukemia;BE-13_Blood_906763;ALL
5500994158987071513209_B04.cel;7;BE-13;blood;lymphoblastic_leukemia;BE-13_Blood_906763;ALL
5500994158987071513209_E05.cel;7;BV-173;blood;chronic_myeloid_leukaemia;BV-173_Blood_910710;LCML
5500994158987071513209_E05.cel;7;BV-173;blood;chronic_myeloid_leukaemia;BV-173_Blood_910710;LCML
5500994172383112813929_E04.cel;7;CCRF-CEM;blood;lymphoblastic_leukemia;CCRF-CEM_Blood_905952;ALL
5500994172383112813929_E04.cel;7;CCRF-CEM;blood;lymphoblastic_leukemia;CCRF-CEM_Blood_905952;ALL
5500994172948120113978_A01.cel;7;CMK;blood;acute_myeloid_leukaemia;CMK_haematopoietic_and_lymphoid_tissue_910566;LAML
5500994175999120813240_C04.cel;7;CML-T1;blood;chronic_myeloid_leukaemia;CML-T1_haematopoietic_and_lymphoid_tissue_910951;LCML
5500994175999120813240_C04.cel;7;CML-T1;blood;chronic_myeloid_leukaemia;CML-T1_haematopoietic_and_lymphoid_tissue_910951;LCML
5500994158987071513209_G09.cel;7;CTV-1;blood;acute_myeloid_leukaemia;CTV-1_Blood_753548;LAML
5500994158987071513209_G09.cel;7;CTV-1;blood;acute_myeloid_leukaemia;CTV-1_Blood_753548;LAML
5500994172383112813929_G05.cel;7;DND-41;blood;T_cell_leukemia;DND-41_Blood_1297446;ALL
5500994172383112813929_G05.cel;7;DND-41;blood;T_cell_leukemia;DND-41_Blood_1297446;ALL
5500994158987071513209_B12.cel;7;EM-2;blood;chronic_myeloid_leukaemia;EM-2_Blood_906855;LCML
5500994158987071513209_B12.cel;7;EM-2;blood;chronic_myeloid_leukaemia;EM-2_Blood_906855;LCML
5500994172383112813929_D07.cel;7;EoL-1-cell;blood;haematopoietic_neoplasm_other;EoL-1-cell_Blood_906856;UNCLASSIFIED
5500994172383112813929_D07.cel;7;EoL-1-cell;blood;haematopoietic_neoplasm_other;EoL-1-cell_Blood_906856;UNCLASSIFIED
5500994175999120813240_B04.cel;7;GDM-1;blood;acute_myeloid_leukaemia;GDM-1_haematopoietic_and_lymphoid_tissue_906870;LAML
5500994175999120813240_B04.cel;7;GDM-1;blood;acute_myeloid_leukaemia;GDM-1_haematopoietic_and_lymphoid_tissue_906870;LAML
5500994172383112813929_C11.cel;7;H9;blood;lymphoid_neoplasm_other;H9_Blood_907043;UNCLASSIFIED
5500994172383112813929_C11.cel;7;H9;blood;lymphoid_neoplasm_other;H9_Blood_907043;UNCLASSIFIED
5500994172383112813928_F07.cel;7;HAL-01;blood;lymphoblastic_leukemia;HAL-01_Blood_949153;ALL
5500994172383112813928_F07.cel;7;HAL-01;blood;lymphoblastic_leukemia;HAL-01_Blood_949153;ALL
5500994172383112813929_A10.cel;7;HEL;blood;acute_myeloid_leukaemia;HEL_Blood_907053;LAML
5500994172383112813929_A10.cel;7;HEL;blood;acute_myeloid_leukaemia;HEL_Blood_907053;LAML
5500994172383112813929_A08.cel;7;HL-60;blood;acute_myeloid_leukaemia;HL-60_Blood_905938;LAML
5500994172383112813929_A08.cel;7;HL-60;blood;acute_myeloid_leukaemia;HL-60_Blood_905938;LAML
