Cell_line;Tissue sub-type;Count;
Daoy;MB;nervous_system;medulloblastoma
Daudi;UNCLASSIFIED;blood;Burkitt_lymphoma
Daudi;UNCLASSIFIED;blood;Burkitt_lymphoma
Detroit562;HNSC;aero_digestive_tract;head_and_neck
Detroit562;HNSC;aero_digestive_tract;head_and_neck
DiFi;COREAD;digestive_system;large_intestine
DiFi;COREAD;digestive_system;large_intestine
DoTc2-4510;CESC;urogenital_system;cervix
DoTc2-4510;CESC;urogenital_system;cervix
EB-3;UNCLASSIFIED;blood;Burkitt_lymphoma
EB-3;UNCLASSIFIED;blood;Burkitt_lymphoma
EB2;UNCLASSIFIED;blood;Burkitt_lymphoma
EB2;UNCLASSIFIED;blood;Burkitt_lymphoma
EBC-1;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
EBC-1;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
EC-GI-10;ESCA;aero_digestive_tract;oesophagus
EC-GI-10;ESCA;aero_digestive_tract;oesophagus
ECC10;UNCLASSIFIED;digestive_system;stomach
ECC10;UNCLASSIFIED;digestive_system;stomach
ECC12;UNCLASSIFIED;digestive_system;stomach
ECC12;UNCLASSIFIED;digestive_system;stomach
EFM-19;BRCA;breast;breast
EFM-19;BRCA;breast;breast
EFM-192A;BRCA;breast;breast
EFM-192A;BRCA;breast;breast
EFO-21;OV;urogenital_system;ovary
EFO-21;OV;urogenital_system;ovary
EFO-27;UNCLASSIFIED;urogenital_system;ovary
EFO-27;UNCLASSIFIED;urogenital_system;ovary
EGI-1;UNCLASSIFIED;digestive_system;biliary_tract
EGI-1;UNCLASSIFIED;digestive_system;biliary_tract
EHEB;CLL;blood;lymphoid_neoplasm_other
EJM;MM;blood;lymphoid_neoplasm_other
EJM;MM;blood;lymphoid_neoplasm_other
EKVX;LUAD;lung;lung_NSCLC_adenocarcinoma
EKVX;LUAD;lung;lung_NSCLC_adenocarcinoma
EM-2;LCML;blood;chronic_myeloid_leukaemia
EM-2;LCML;blood;chronic_myeloid_leukaemia
EMC-BAC-1;LUAD;lung;lung_NSCLC_adenocarcinoma
EMC-BAC-2;LUAD;lung;lung_NSCLC_adenocarcinoma
EMC-BAC-2;LUAD;lung;lung_NSCLC_adenocarcinoma
EN;UCEC;urogenital_system;endometrium
EN;UCEC;urogenital_system;endometrium
EPLC-272H;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
EPLC-272H;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
ES-2;UNCLASSIFIED;urogenital_system;ovary
ES-2;UNCLASSIFIED;urogenital_system;ovary
ES1;UNCLASSIFIED;bone;ewings_sarcoma
ES1;UNCLASSIFIED;bone;ewings_sarcoma
ES3;UNCLASSIFIED;bone;ewings_sarcoma
ES4;UNCLASSIFIED;bone;ewings_sarcoma
ES4;UNCLASSIFIED;bone;ewings_sarcoma
ES5;UNCLASSIFIED;bone;ewings_sarcoma
ES5;UNCLASSIFIED;bone;ewings_sarcoma
ES6;UNCLASSIFIED;bone;ewings_sarcoma
ES6;UNCLASSIFIED;bone;ewings_sarcoma
ES7;UNCLASSIFIED;bone;ewings_sarcoma
ES7;UNCLASSIFIED;bone;ewings_sarcoma
ES8;UNCLASSIFIED;bone;ewings_sarcoma
ES8;UNCLASSIFIED;bone;ewings_sarcoma
ESO26;ESCA;aero_digestive_tract;oesophagus
ESO26;ESCA;aero_digestive_tract;oesophagus
ESO51;ESCA;aero_digestive_tract;oesophagus
ESO51;ESCA;aero_digestive_tract;oesophagus
ESS-1;UNCLASSIFIED;urogenital_system;endometrium
ESS-1;UNCLASSIFIED;urogenital_system;endometrium
ETK-1;UNCLASSIFIED;digestive_system;biliary_tract
ETK-1;UNCLASSIFIED;digestive_system;biliary_tract
EVSA-T;BRCA;breast;breast
EVSA-T;BRCA;breast;breast
EW-1;UNCLASSIFIED;bone;ewings_sarcoma
EW-1;UNCLASSIFIED;bone;ewings_sarcoma
